estacion,magnitud,mes,dia,medicion,lluvia_mm
4,1,01,01,18,0
4,1,01,02,20,0
4,1,01,03,18,0
4,1,01,04,19,0
4,1,01,05,18,0
4,1,01,06,18,0
4,1,01,07,21,0
4,1,01,08,20,0
4,1,01,09,18,0
4,1,01,10,13,0
4,1,01,11,16,0
4,1,01,12,16,0
4,1,01,13,16,0
4,1,01,14,22,0
4,1,01,15,21,0
4,1,01,16,16,0
4,1,01,17,15,0
4,1,01,18,14,0
4,1,01,19,12,5.9
4,1,01,20,14,0
4,1,01,21,15,0
4,1,01,22,14,0.4
4,1,01,23,16,0
4,1,01,24,17,0
4,1,01,25,18,0
4,1,01,26,16,0
4,1,01,27,15,0
4,1,01,28,15,0
4,1,01,29,15,0
4,1,01,30,14,4.1
4,1,01,31,14,8.2
4,1,03,01,18,0
4,1,03,02,18,0
4,1,03,03,17,0
4,1,03,04,17,0
4,1,03,05,16,0
4,1,03,06,16,8.2
4,1,03,07,14,0
4,1,03,08,16,0
4,1,03,09,16,0
4,1,03,10,17,0
4,1,03,11,17,0
4,1,03,12,16,0
4,1,03,13,17,0
4,1,03,14,16,0
4,1,03,15,19,0
4,1,03,16,17,0
4,1,03,17,17,0
4,1,03,18,15,0
4,1,03,19,16,0
4,1,03,20,15,0
4,1,03,21,17,0
4,1,03,22,17,0
4,1,03,23,17,0
4,1,03,24,17,0
4,1,03,25,17,0
4,1,03,26,9,0
4,1,03,27,6,0
4,1,03,28,7,0
4,1,03,29,6,0
4,1,03,30,4,0
4,1,03,31,4,1.6
4,1,05,01,1,0
4,1,05,02,1,0
4,1,05,03,1,0
4,1,05,04,2,0
4,1,05,05,2,0
4,1,05,06,3,0
4,1,05,07,3,0
4,1,05,08,3,0
4,1,05,09,2,0
4,1,05,10,2,0
4,1,05,11,2,0
4,1,05,12,1,0
4,1,05,13,2,0
4,1,05,14,1,0
4,1,05,15,2,0
4,1,05,16,2,0.1
4,1,05,17,3,0
4,1,05,18,2,0
4,1,05,19,2,0
4,1,05,20,2,0
4,1,05,21,3,0
4,1,05,22,3,0
4,1,05,23,3,0
4,1,05,24,3,0
4,1,05,25,2,0
4,1,05,26,1,0
4,1,05,27,2,0
4,1,05,28,1,0
4,1,05,29,1,0
4,1,05,30,1,0
4,1,05,31,2,0
4,1,07,01,1,0
4,1,07,02,1,1.6
4,1,07,03,2,0
4,1,07,04,2,0
4,1,07,05,2,0
4,1,07,06,2,0
4,1,07,07,2,0
4,1,07,08,2,0
4,1,07,09,2,0
4,1,07,10,2,0
4,1,07,11,2,0
4,1,07,12,3,0
4,1,07,13,2,0
4,1,07,14,2,0
4,1,07,15,3,0
4,1,07,16,5,0
4,1,07,17,7,0
4,1,07,18,7,0
4,1,07,19,7,0
4,1,07,20,7,0
4,1,07,21,7,6.2
4,1,07,22,8,0
4,1,07,23,8,0.8
4,1,07,24,8,0
4,1,07,25,8,0
4,1,07,26,7,0
4,1,07,27,7,0
4,1,07,28,7,0
4,1,07,29,8,0
4,1,07,30,7,0
4,1,07,31,7,0
4,1,08,01,8,0
4,1,08,02,8,0
4,1,08,03,7,0
4,1,08,04,7,0
4,1,08,05,8,0
4,1,08,06,8,0
4,1,08,07,7,0
4,1,08,08,8,0
4,1,08,09,7,0
4,1,08,10,7,0
4,1,08,11,7,0
4,1,08,12,7,0
4,1,08,13,7,0
4,1,08,14,8,0
4,1,08,15,8,0
4,1,08,16,8,0
4,1,08,17,8,0
4,1,08,18,8,0
4,1,08,19,8,0.4
4,1,08,20,7,0.1
4,1,08,21,7,16.2
4,1,08,22,7,0
4,1,08,23,8,0
4,1,08,24,8,0
4,1,08,25,8,4.2
4,1,08,26,8,26.9
4,1,08,27,7,0
4,1,08,28,8,0
4,1,08,29,8,0
4,1,08,30,8,10.6
4,1,08,31,8,0
4,1,10,01,10,0
4,1,10,02,8,0
4,1,10,03,9,0
4,1,10,04,9,0
4,1,10,05,9,0
4,1,10,06,8,0
4,1,10,07,10,0
4,1,10,08,11,0
4,1,10,09,10,0
4,1,10,10,9,0
4,1,10,11,9,0
4,1,10,12,8,5.4
4,1,10,13,9,0
4,1,10,14,8,3.2
4,1,10,15,9,0
4,1,10,16,9,0.6
4,1,10,17,9,2.3
4,1,10,18,9,0.1
4,1,10,19,9,18.4
4,1,10,20,9,0.5
4,1,10,21,10,0
4,1,10,22,10,10.1
4,1,10,23,10,1.5
4,1,10,24,10,0
4,1,10,25,11,0
4,1,10,26,11,0
4,1,10,27,11,0
4,1,10,28,11,0
4,1,10,29,12,0
4,1,10,30,11,0
4,1,10,31,9,0.5
4,1,12,01,6,26.8
4,1,12,02,5,0
4,1,12,03,6,2
4,1,12,04,6,2
4,1,12,05,7,0
4,1,12,06,7,0
4,1,12,07,7,0
4,1,12,08,6,2.7
4,1,12,09,7,0
4,1,12,10,8,0
4,1,12,11,6,0.3
4,1,12,12,5,1.7
4,1,12,13,7,0
4,1,12,14,7,0
4,1,12,15,7,0
4,1,12,16,7,0.3
4,1,12,17,7,0.9
4,1,12,18,7,1.2
4,1,12,19,7,38.4
4,1,12,20,6,12.8
4,1,12,21,6,1
4,1,12,22,6,0
4,1,12,23,6,0
4,1,12,24,7,0
4,1,12,25,7,0
4,1,12,26,9,0
4,1,12,27,9,0
4,1,12,28,10,0
4,1,12,29,9,0
4,1,12,30,9,0
4,1,12,31,9,0
4,6,01,01,0.8,0
4,6,01,02,1,0
4,6,01,03,0.9,0
4,6,01,04,1,0
4,6,01,05,0.9,0
4,6,01,06,1,0
4,6,01,07,1,0
4,6,01,08,1,0
4,6,01,09,0.8,0
4,6,01,10,0.5,0
4,6,01,11,0.8,0
4,6,01,12,0.7,0
4,6,01,13,0.7,0
4,6,01,14,1.2,0
4,6,01,15,1,0
4,6,01,16,0.7,0
4,6,01,17,0.7,0
4,6,01,18,0.7,0
4,6,01,19,0.6,5.9
4,6,01,20,0.5,0
4,6,01,21,0.6,0
4,6,01,22,0.5,0.4
4,6,01,23,0.3,0
4,6,01,24,0.5,0
4,6,01,25,0.6,0
4,6,01,26,0.5,0
4,6,01,27,0.4,0
4,6,01,28,0.3,0
4,6,01,29,0.4,0
4,6,01,30,0.4,4.1
4,6,01,31,0.3,8.2
4,6,03,01,0.6,0
4,6,03,02,0.6,0
4,6,03,03,0.5,0
4,6,03,04,0.3,0
4,6,03,05,0.4,0
4,6,03,06,0.3,8.2
4,6,03,07,0.4,0
4,6,03,08,0.5,0
4,6,03,09,0.6,0
4,6,03,10,0.6,0
4,6,03,11,0.5,0
4,6,03,12,0.5,0
4,6,03,13,0.4,0
4,6,03,14,0.5,0
4,6,03,15,0.7,0
4,6,03,16,0.5,0
4,6,03,17,0.4,0
4,6,03,18,0.3,0
4,6,03,19,0.3,0
4,6,03,20,0.4,0
4,6,03,21,0.5,0
4,6,03,22,0.6,0
4,6,03,23,0.5,0
4,6,03,24,0.5,0
4,6,03,25,0.4,0
4,6,03,26,0.3,0
4,6,03,27,0.5,0
4,6,03,28,0.6,0
4,6,03,29,0.5,0
4,6,03,30,0.5,0
4,6,03,31,0.4,1.6
4,6,05,01,0.3,0
4,6,05,02,0.3,0
4,6,05,03,0.4,0
4,6,05,04,0.3,0
4,6,05,05,0.3,0
4,6,05,06,0.4,0
4,6,05,07,0.3,0
4,6,05,08,0.3,0
4,6,05,09,0.3,0
4,6,05,10,0.3,0
4,6,05,11,0.3,0
4,6,05,12,0.3,0
4,6,05,13,0.4,0
4,6,05,14,0.3,0
4,6,05,15,0.4,0
4,6,05,16,0.3,0.1
4,6,05,17,0.3,0
4,6,05,18,0.3,0
4,6,05,19,0.3,0
4,6,05,20,0.3,0
4,6,05,21,0.3,0
4,6,05,22,0.3,0
4,6,05,23,0.4,0
4,6,05,24,0.3,0
4,6,05,25,0.3,0
4,6,05,26,0.3,0
4,6,05,27,0.3,0
4,6,05,28,0.3,0
4,6,05,29,0.3,0
4,6,05,30,0.3,0
4,6,05,31,0.4,0
4,6,07,01,0.3,0
4,6,07,02,0.3,1.6
4,6,07,03,0.3,0
4,6,07,04,0.3,0
4,6,07,05,0.3,0
4,6,07,06,0.3,0
4,6,07,07,0.3,0
4,6,07,08,0.3,0
4,6,07,09,0.3,0
4,6,07,10,0.3,0
4,6,07,11,0.5,0
4,6,07,12,0.6,0
4,6,07,13,0.4,0
4,6,07,14,0.3,0
4,6,07,15,0.3,0
4,6,07,16,0.3,0
4,6,07,17,0.3,0
4,6,07,18,0.3,0
4,6,07,19,0.3,0
4,6,07,20,0.3,0
4,6,07,21,0.3,6.2
4,6,07,22,0.3,0
4,6,07,23,0.3,0.8
4,6,07,24,0.3,0
4,6,07,25,0.3,0
4,6,07,26,0.3,0
4,6,07,27,0.2,0
4,6,07,28,0.3,0
4,6,07,29,0.3,0
4,6,07,30,0.3,0
4,6,07,31,0.3,0
4,6,08,01,0.3,0
4,6,08,02,0.4,0
4,6,08,03,0.3,0
4,6,08,04,0.3,0
4,6,08,05,0.4,0
4,6,08,06,0.3,0
4,6,08,07,0.2,0
4,6,08,08,0.2,0
4,6,08,09,0.2,0
4,6,08,10,0.3,0
4,6,08,11,0.3,0
4,6,08,12,0.3,0
4,6,08,13,0.3,0
4,6,08,14,0.4,0
4,6,08,15,0.3,0
4,6,08,16,0.3,0
4,6,08,17,0.3,0
4,6,08,18,0.3,0
4,6,08,19,0.3,0.4
4,6,08,20,0.3,0.1
4,6,08,21,0.3,16.2
4,6,08,22,0.4,0
4,6,08,23,0.4,0
4,6,08,24,0.4,0
4,6,08,25,0.3,4.2
4,6,08,26,0.3,26.9
4,6,08,27,0.3,0
4,6,08,28,0.4,0
4,6,08,29,0.4,0
4,6,08,30,0.4,10.6
4,6,08,31,0.4,0
4,6,10,01,0.4,0
4,6,10,02,0.3,0
4,6,10,03,0.5,0
4,6,10,04,0.5,0
4,6,10,05,0.4,0
4,6,10,06,0.4,0
4,6,10,07,0.6,0
4,6,10,08,0.6,0
4,6,10,09,0.5,0
4,6,10,10,0.4,0
4,6,10,11,0.5,0
4,6,10,12,0.3,5.4
4,6,10,13,0.3,0
4,6,10,14,0.3,3.2
4,6,10,15,0.3,0
4,6,10,16,0.4,0.6
4,6,10,17,0.4,2.3
4,6,10,18,0.3,0.1
4,6,10,19,0.3,18.4
4,6,10,20,0.3,0.5
4,6,10,21,0.5,0
4,6,10,22,0.4,10.1
4,6,10,23,0.3,1.5
4,6,10,24,0.4,0
4,6,10,25,0.7,0
4,6,10,26,0.6,0
4,6,10,27,0.6,0
4,6,10,28,0.5,0
4,6,10,29,0.7,0
4,6,10,30,0.5,0
4,6,10,31,0.3,0.5
4,6,12,01,0.4,26.8
4,6,12,02,0.3,0
4,6,12,03,0.4,2
4,6,12,04,0.4,2
4,6,12,05,0.4,0
4,6,12,06,0.4,0
4,6,12,07,0.6,0
4,6,12,08,0.5,2.7
4,6,12,09,0.5,0
4,6,12,10,0.6,0
4,6,12,11,0.4,0.3
4,6,12,12,0.3,1.7
4,6,12,13,0.3,0
4,6,12,14,0.3,0
4,6,12,15,0.4,0
4,6,12,16,0.3,0.3
4,6,12,17,0.2,0.9
4,6,12,18,0.2,1.2
4,6,12,19,0.1,38.4
4,6,12,20,0.1,12.8
4,6,12,21,0.1,1
4,6,12,22,0.1,0
4,6,12,23,0.2,0
4,6,12,24,0.5,0
4,6,12,25,0.4,0
4,6,12,26,0.6,0
4,6,12,27,0.5,0
4,6,12,28,0.8,0
4,6,12,29,0.6,0
4,6,12,30,0.6,0
4,6,12,31,0.7,0
4,7,01,01,105,0
4,7,01,02,163,0
4,7,01,03,125,0
4,7,01,04,142,0
4,7,01,05,108,0
4,7,01,06,129,0
4,7,01,07,128,0
4,7,01,08,157,0
4,7,01,09,105,0
4,7,01,10,39,0
4,7,01,11,104,0
4,7,01,12,72,0
4,7,01,13,70,0
4,7,01,14,210,0
4,7,01,15,147,0
4,7,01,16,77,0
4,7,01,17,68,0
4,7,01,18,73,0
4,7,01,19,44,5.9
4,7,01,20,25,0
4,7,01,21,70,0
4,7,01,22,42,0.4
4,7,01,23,9,0
4,7,01,24,30,0
4,7,01,25,64,0
4,7,01,26,38,0
4,7,01,27,16,0
4,7,01,28,7,0
4,7,01,29,8,0
4,7,01,30,9,4.1
4,7,01,31,6,8.2
4,7,03,01,46,0
4,7,03,02,43,0
4,7,03,03,23,0
4,7,03,04,5,0
4,7,03,05,7,0
4,7,03,06,6,8.2
4,7,03,07,8,0
4,7,03,08,36,0
4,7,03,09,43,0
4,7,03,10,34,0
4,7,03,11,42,0
4,7,03,12,31,0
4,7,03,13,9,0
4,7,03,14,26,0
4,7,03,15,68,0
4,7,03,16,31,0
4,7,03,17,18,0
4,7,03,18,8,0
4,7,03,19,7,0
4,7,03,20,8,0
4,7,03,21,26,0
4,7,03,22,33,0
4,7,03,23,21,0
4,7,03,24,22,0
4,7,03,25,21,0
4,7,03,26,6,0
4,7,03,27,23,0
4,7,03,28,34,0
4,7,03,29,25,0
4,7,03,30,15,0
4,7,03,31,11,1.6
4,7,05,01,7,0
4,7,05,02,5,0
4,7,05,03,10,0
4,7,05,04,8,0
4,7,05,05,7,0
4,7,05,06,18,0
4,7,05,07,7,0
4,7,05,08,5,0
4,7,05,09,10,0
4,7,05,10,8,0
4,7,05,11,8,0
4,7,05,12,4,0
4,7,05,13,16,0
4,7,05,14,8,0
4,7,05,15,19,0
4,7,05,16,11,0.1
4,7,05,17,13,0
4,7,05,18,4,0
4,7,05,19,3,0
4,7,05,20,6,0
4,7,05,21,8,0
4,7,05,22,14,0
4,7,05,23,35,0
4,7,05,24,7,0
4,7,05,25,8,0
4,7,05,26,4,0
4,7,05,27,21,0
4,7,05,28,10,0
4,7,05,29,9,0
4,7,05,30,12,0
4,7,05,31,21,0
4,7,07,01,14,0
4,7,07,02,7,1.6
4,7,07,03,7,0
4,7,07,04,6,0
4,7,07,05,7,0
4,7,07,06,9,0
4,7,07,07,3,0
4,7,07,08,6,0
4,7,07,09,8,0
4,7,07,10,6,0
4,7,07,11,32,0
4,7,07,12,53,0
4,7,07,13,12,0
4,7,07,14,2,0
4,7,07,15,6,0
4,7,07,16,9,0
4,7,07,17,5,0
4,7,07,18,5,0
4,7,07,19,4,0
4,7,07,20,3,0
4,7,07,21,3,6.2
4,7,07,22,6,0
4,7,07,23,5,0.8
