Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,RateType,Rate,Education_Field
31,No,Travel_Rarely,Research_Development,23,Male,2,Healthcare_Representative,Very_High,Married,5582,0,No,Outstanding,10,2,9,0,DailyRate,1463,Bachelor//Medical
31,No,Travel_Rarely,Research_Development,23,Male,2,Healthcare_Representative,Very_High,Married,5582,0,No,Outstanding,10,2,9,0,HourlyRate,64,Bachelor//Medical
31,No,Travel_Rarely,Research_Development,23,Male,2,Healthcare_Representative,Very_High,Married,5582,0,No,Outstanding,10,2,9,0,MonthlyRate,14408,Bachelor//Medical
31,Yes,Travel_Frequently,Research_Development,15,Male,1,Laboratory_Technician,High,Married,2610,1,No,Excellent,2,5,2,2,DailyRate,874,Bachelor//Medical
31,Yes,Travel_Frequently,Research_Development,15,Male,1,Laboratory_Technician,High,Married,2610,1,No,Excellent,2,5,2,2,HourlyRate,72,Bachelor//Medical
31,Yes,Travel_Frequently,Research_Development,15,Male,1,Laboratory_Technician,High,Married,2610,1,No,Excellent,2,5,2,2,MonthlyRate,6233,Bachelor//Medical
30,No,Non-Travel,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Single,2564,0,No,Excellent,12,2,11,7,DailyRate,1116,Bachelor//Medical
30,No,Non-Travel,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Single,2564,0,No,Excellent,12,2,11,7,HourlyRate,49,Bachelor//Medical
30,No,Non-Travel,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Single,2564,0,No,Excellent,12,2,11,7,MonthlyRate,7181,Bachelor//Medical
28,Yes,Non-Travel,Research_Development,24,Male,3,Healthcare_Representative,Low,Single,8722,1,No,Excellent,10,2,10,7,DailyRate,1366,College//Technical_Degree
28,Yes,Non-Travel,Research_Development,24,Male,3,Healthcare_Representative,Low,Single,8722,1,No,Excellent,10,2,10,7,HourlyRate,72,College//Technical_Degree
28,Yes,Non-Travel,Research_Development,24,Male,3,Healthcare_Representative,Low,Single,8722,1,No,Excellent,10,2,10,7,MonthlyRate,12355,College//Technical_Degree
32,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,Very_High,Married,6209,1,No,Excellent,10,4,10,7,DailyRate,604,Bachelor//Medical
32,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,Very_High,Married,6209,1,No,Excellent,10,4,10,7,HourlyRate,56,Bachelor//Medical
32,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,Very_High,Married,6209,1,No,Excellent,10,4,10,7,MonthlyRate,11693,Bachelor//Medical
50,No,Travel_Rarely,Research_Development,7,Female,5,Research_Director,High,Divorced,18740,5,Yes,Excellent,29,2,27,3,DailyRate,989,College//Medical
50,No,Travel_Rarely,Research_Development,7,Female,5,Research_Director,High,Divorced,18740,5,Yes,Excellent,29,2,27,3,HourlyRate,43,College//Medical
50,No,Travel_Rarely,Research_Development,7,Female,5,Research_Director,High,Divorced,18740,5,Yes,Excellent,29,2,27,3,MonthlyRate,16701,College//Medical
37,No,Travel_Rarely,Research_Development,10,Male,2,Manufacturing_Director,Medium,Single,4197,2,Yes,Excellent,18,2,1,0,DailyRate,1305,Master//Life_Sciences
37,No,Travel_Rarely,Research_Development,10,Male,2,Manufacturing_Director,Medium,Single,4197,2,Yes,Excellent,18,2,1,0,HourlyRate,49,Master//Life_Sciences
37,No,Travel_Rarely,Research_Development,10,Male,2,Manufacturing_Director,Medium,Single,4197,2,Yes,Excellent,18,2,1,0,MonthlyRate,21123,Master//Life_Sciences
41,No,Travel_Rarely,Sales,23,Male,3,Sales_Executive,High,Single,7082,3,Yes,Excellent,21,2,2,0,DailyRate,1206,College//Life_Sciences
41,No,Travel_Rarely,Sales,23,Male,3,Sales_Executive,High,Single,7082,3,Yes,Excellent,21,2,2,0,HourlyRate,80,College//Life_Sciences
41,No,Travel_Rarely,Sales,23,Male,3,Sales_Executive,High,Single,7082,3,Yes,Excellent,21,2,2,0,MonthlyRate,11591,College//Life_Sciences
33,No,Travel_Rarely,Research_Development,13,Female,1,Research_Scientist,Very_High,Single,3452,3,No,Excellent,5,4,3,2,DailyRate,461,Below_College//Life_Sciences
